requirement_id,parent_capability_ids,user_need,decision_status,decision_classification,decision_source,primary_page_or_shared_owner,secondary_affected_pages,current_behavior,gap_type,proposed_disposition,current_source,user_reachability,automated_proof,deployed_match,device_loaded,real_field_validation,visual_evidence_level,dna_alignment,user_acceptance,user_acceptance_source,dependencies,dependency_classification,candidate_slice,acceptance_criteria,evidence_ids,known_open_issues,test_scope_limitations,open_question
RQ-TRAIL-001,ROUTE-01|ACT-03|CAIRN-03,Trails keeps the accepted Activities/Routes primary structure without Mine/Friends tiers or an equal Cairns tab.,ACCEPTED_CURRENT_CONTRACT,ACCEPTED_AUTHORITY,Full task §4 explicit core boundaries,Trails,,Current screen has Activities and Routes tabs only. All Cairns is not present.,KEEP_ACCEPTED_IA,KEEP_NO_CHANGE,YES,YES,YES,PARTIAL,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,MATCH,PARTIAL,Only the IA structure is explicitly accepted; the whole page is not.,,REUSE_EXISTING,Regression guard for later Trails integration,"Activities/Routes remains the primary Trails structure.|All Cairns, if approved, is not silently added as an equal Trails tab.",TEST-001|VIS-013|VIS-014,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-TRAIL-002,ROUTE-01|ACT-03,"Activity and Route search covers the intended full history, not merely the currently loaded subset.",UNRESOLVED,AUDIT_RECOMMENDATION,Full task §13,Trails retrieval/search,,Search filters arrays already in memory. Session storage caps locally at 500; route/session APIs do not prove pagination. A 300-item test proves grouping/virtualization only.,RETRIEVAL_COMPLETENESS_GAP,NEEDS_PRODUCT_DECISION,PARTIAL,YES,PARTIAL,UNKNOWN,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,History retention/product decision|Paginated API if full history required,PRODUCT_DECISION_REQUIRED,Page sequence 5 — Trails integration,"Define retained history and pagination.|Search explicitly states local vs server scope.|Large-list proof includes retrieval, not only rendering.",TEST-001|VIS-013,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-TRAIL-003,ACT-03|ROUTE-01,Trails rows and post-create flows reach the same canonical Activity/Route Details.,CONFIRMED_REQUIREMENT,AUDIT_RECOMMENDATION,Full task §9,Trails/detail integration,Activity Detail|Route Detail|Route Editor,Trails rows reach MapHistory details. Save as Route resets to RouteEditor view mode rather than the canonical Route Detail branch.,INCONSISTENT_DESTINATION,LATER_SLICE,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Page sequence 5 after Route work,Every object family has one canonical detail contract.|Create/reopen/list journeys converge.|Back destinations are explicit.,SRC-012|SRC-013|SRC-014,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ROUTE-001,ROUTE-01,"A user can list, search, open, rename, delete, and use their Route with honest failure feedback.",CONFIRMED_REQUIREMENT,IMPLEMENTATION_FACT,Current RoutesScreen/MapHistory source; full task §8,Route Detail,Trails|Route Editor|Hike|Run,Normal Trails row reachability exists. Rename is not awaited/caught; delete navigates back immediately while async work continues. Direct unknown IDs have no targeted load/not-found state.,IMPLEMENTATION_DEFECT,LATER_SLICE,YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Page sequence 4 — Route Detail/Editor/Use,Rename/delete failure remains visible and recoverable.|Direct/stale IDs show loading/not-found.|Successful mutation persists across reopen.,VIS-020|SRC-013,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ROUTE-002,ROUTE-02,A finalized Activity can create a new Route without changing the original Activity.,CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4 and §9,Activity Detail → Route Editor,Route Detail|Trails,"Save as Route creates a transient draft, editor changes the draft, and outer Save persists. After new Save, navigation lands in RouteEditor view mode, not canonical Route Detail.",INCONSISTENT_DESTINATION,LATER_SLICE,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Page sequence 4 — Route Detail/Editor/Use,Original Activity remains immutable.|New Route persists and reopens.|Successful creation lands on the agreed canonical Route Detail.,TEST-001|SRC-014,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ROUTE-003,ROUTE-03,"Route origin, version, and walked/planned segment distinctions survive server round-trip and fresh-device reopen.",CANDIDATE_AWAITING_DECISION,CANDIDATE_DESIGN,Full task §4 future requirements; Cairn Blueprint v0.9 Route sections,Route data contract,Route Editor|Route Detail|Activity Detail,"Local route extras include originalPoints/segments, but backend persistence retains points/waypoints/distance/elevation/permission without durable provenance/version/walked-planned semantics.",BACKEND_SCHEMA_GAP,NEEDS_PRODUCT_DECISION,PARTIAL,NO,PARTIAL,NO,NO,NO,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,Product decision|Schema/API change later,PRODUCT_DECISION_REQUIRED,Prerequisite decision before relaxing Route editing limits,Approved semantics are explicit.|Required provenance survives server/export/fresh device.|Edited geometry is not presented as wholly walked.,DEP-003|SRC-027,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ROUTE-004,ROUTE-04,Use for Hike/Run truthfully distinguishes a displayed reference line from active following/voice guidance.,CONFIRMED_REQUIREMENT,IMPLEMENTATION_FACT,Current source plus full task §5 and §13,Route Detail → Hike/Run handoff,,Use selects routeId and shows a pre-start reference line. setFollowingRoute has no normal production caller; useRouteFollowing remains dormant.,MISSING_WIRING_OR_COPY_SCOPE,KEEP_NO_CHANGE,YES,PARTIAL,YES,PARTIAL,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Keep current map-reference promise; active following is later decision,Current copy does not imply active turn-by-turn following.|Any future active following has a normal caller and field proof.,SRC-027|TEST-001,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ROUTE-005,ROUTE-01|ROUTE-02,"Route Editor Save/Cancel/Delete/Edit have durable, truthful outcomes and visible errors.",CONFIRMED_REQUIREMENT,AUDIT_RECOMMENDATION,Full task §9 action trace,Route Editor,Route Detail|Trails,View/edit modes and two-stage draft/save exist. Web map is unavailable; gear has a TODO handler; delete has no catch; outer Save creates/updates.,IMPLEMENTATION_DEFECT,LATER_SLICE,YES,YES,PARTIAL,UNKNOWN,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Page sequence 4 — Route Detail/Editor/Use,Save/Cancel semantics are unambiguous.|Delete/save failures remain on screen with retry.|No visible no-op control.,VIS-021|VIS-028|VIS-035|SRC-014,Gear control is a no-op TODO.|Web renderer shows Map unavailable.,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ROUTE-006,ROUTE-02|ROUTE-03,"Explicit reconnect or true-Gap edits affect only the new Route, never silently rewrite the Activity.",CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4 and §9,Route Editor truth boundary,Activity Detail,Editor works on a Route draft and the Activity remains separate; persisted segment provenance is incomplete.,PARTIAL_DATA_CONTRACT,LATER_SLICE,PARTIAL,YES,YES,NO,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,RQ-ROUTE-003,NARROW_PREREQUISITE,Page sequence 4 — Route Editor,Activity geometry remains unchanged.|Reconnect is explicit and Route-only.|Fresh-device reopen preserves the distinction.,TEST-001|SRC-014,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ROUTE-007,ROUTE-05,Friend Route view/copy/reference/revoke semantics are decided before exposing existing lower-layer data.,CANDIDATE_AWAITING_DECISION,CANDIDATE_DESIGN,Full task §4 future requirements,Friends/Route future domain,Trails|Route Detail,Circle Route API and dormant loader exist; there is no normal UI or approved copy/reference/revoke contract.,HANDLER_WITHOUT_NORMAL_CONSUMER,LATER_SLICE,PARTIAL,NO,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,PRODUCT_DECISION_REQUIRED,Later Friends/Route sharing scope,Ownership and revocation semantics are approved.|Normal UI is explicit.|Copy/reference never mutates the source owner Route.,DEP-004,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-CAIRN-001,CAIRN-01,"Full Plant creates one stable, private-by-default Cairn with optional content and later recovery after local failure.",CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4; Plant config R114/O24 source decision,Plant,Own Cairn Detail|Memory|Activity Detail,Standalone GPS→pin→content and active-Hike compose exist. Content is optional; default is Just me; failed draft rehydrates. Title is encoded inside note with U+001E because backend lacks a title field.,SCHEMA_DEBT_AND_DEVICE_EVIDENCE_GAP,KEEP_NO_CHANGE,YES,YES,YES,PARTIAL,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,MATCH,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Preserve current Plant; title schema may be a later narrow prerequisite,Successful Plant resolves to the same Cairn identity/detail.|Private default remains.|Failed local commit is visible and recoverable.,TEST-001|VIS-022|VIS-029|VIS-036|SRC-015,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-CAIRN-002,CAIRN-01|ACT-02,"Quick Cairn uses the most recent trustworthy Activity position, creates no fabricated success, and links to the Activity.",CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4 and §9,Run Quick Cairn,Activity Detail|Memory|Own Cairn Detail,"Run uses a fresh accepted point no older than 30 seconds, optional empty content, local durable marker, and activity provenance. It does not navigate to Detail.",RETRIEVAL_DISCOVERABILITY_GAP,KEEP_NO_CHANGE,YES,YES,YES,PARTIAL,UNKNOWN,UNKNOWN,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,RQ-CAIRN-006,LATER_DOMAIN_WORK,Preserve recording flow; All Cairns later closes retrieval,Stale/missing fix blocks Quick Cairn.|Stable identity and Activity link persist.|Later edit/delete is reachable through an approved retrieval path.,SRC-011|SRC-028,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-CAIRN-003,CAIRN-01|CAIRN-02,Quick/Plant/map/list/Activity entries resolve to one stable Cairn identity without delete resurrection.,CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4 and §13,Shared Cairn identity,Plant|Run|Activity Detail|Memory|All Cairns,clientCairnId/localId ack identity and tombstones exist. Naming is packed in note. Circle/public projections remain separate stores and do not converge on normal Detail.,PARTIAL_SHARED_IDENTITY_CONTRACT,LATER_SLICE,PARTIAL,PARTIAL,YES,PARTIAL,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Page sequence 3 — Own Cairn Detail and All Cairns,All entry surfaces resolve the same stable ID.|Delete tombstones prevent resurrection.|Pending/synced naming is consistent.,TEST-001|SRC-028,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-CAIRN-004,CAIRN-02,"An owner can open, edit, and delete their Cairn with explicit offline/online boundaries.",CONFIRMED_REQUIREMENT,IMPLEMENTATION_FACT,Current MarkerDetailScreen and full task §8,Own Cairn Detail,Plant|Memory|Activity Detail,Successful full Plant normally replaces to MarkerDetail. Own local pending objects can edit/delete locally; synced edit/delete require network. Expo Web fixture shows Day/Sunset/Night but no native acceptance.,PAGE_ACCEPTANCE_GAP,LATER_SLICE,YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,REAL_WEB_MAPBOX,DIVERGENT,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Page sequence 3 — Own Cairn Detail and All Cairns,Plant→Detail and retrieval→Detail converge.|Offline boundary is visible.|Edit/delete persist and failures are recoverable.,VIS-023|VIS-030|VIS-037|SRC-016,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-CAIRN-005,CAIRN-01|CAIRN-02,"Pending-create edits, synced edits, and synced deletes are described as distinct contracts.",CONFIRMED_REQUIREMENT,AUDIT_RECOMMENDATION,Full task §13,Cairn persistence boundary,Plant|Own Cairn Detail|All Cairns,Create is durable local/outbox; pending local object is mutable; synced edit/delete are online calls with tombstone protection.,COPY_AND_ACCEPTANCE_GAP,LATER_SLICE,YES,PARTIAL,YES,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Page sequence 3 — Cairn details,UI does not call all mutations offline-first.|Each state has accurate feedback and retry semantics.,TEST-001|SRC-028,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-CAIRN-006,CAIRN-03,"A personal All Cairns entry supports recency, search, later editing, and honest offline mutation boundaries.",CANDIDATE_AWAITING_DECISION,CANDIDATE_DESIGN,Full task §4 future requirements and §8,All Cairns,Home or agreed personal-library entry|Own Cairn Detail|Memory,No All Cairns page/tab/normal entry exists. Own marker cache and APIs do not constitute a reachable index.,UNIMPLEMENTED_CANDIDATE_REQUIREMENT,NEEDS_PRODUCT_DECISION,NO,NO,NO,NO,NO,NO,NO_EVIDENCE,UNVERIFIED,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,PRODUCT_DECISION_REQUIRED,Page sequence 3 — Own Cairn Detail and All Cairns,Entry location is explicitly approved without reopening accepted Trails IA.|List/search/reopen scope is explicit.|Pending/synced mutation boundaries are shown.,SRC-012|DEP-005,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-CAIRN-007,CAIRN-04|CAIRN-05,A friend/public Cairn can reach an approved non-owner Detail without implying encounter or exposing implicit visitor location/time.,CANDIDATE_AWAITING_DECISION,CANDIDATE_DESIGN,Full task §4 future requirements,Non-owner Cairn Detail,Memory|Friends|Public discovery,"Detail components and non-owner sheet forms exist, but Memory receives own markers only; circle markers are not rendered; public pins are blurred/unpressable; full MarkerDetail only resolves own store objects.",HANDLER_WITHOUT_NORMAL_CONSUMER,NEEDS_PRODUCT_DECISION,PARTIAL,NO,PARTIAL,PARTIAL,UNKNOWN,NO,SOURCE_ONLY,UNVERIFIED,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,RQ-MEM-005|RQ-ENC-001|RQ-MOD-001,PRODUCT_DECISION_REQUIRED,Later Friends/Public after authorization containment,Normal entry is defined.|Presence/open/Thanks are distinct.|No author notification of implicit visitor location/time by default.,SRC-016|SRC-019|SRC-020,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-CAIRN-008,CAIRN-05|MOD-01,"Like/report/hide/Block actions are reachable only with real persistence, moderation, and privacy semantics.",CANDIDATE_AWAITING_DECISION,CANDIDATE_DESIGN,Full task §4 future requirements,Non-owner Cairn Detail/interactions,Memory|Moderation,Services/endpoints exist but have no normal non-owner consumer. Hide in CairnPinsLayer closes the sheet without persisting hide.,VISIBLE_OR_LOWER_LAYER_NO_OP,LATER_SLICE,PARTIAL,NO,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,Moderation operating model,LATER_DOMAIN_WORK,Later Public/Moderation scope,Every visible interaction has a durable handler.|Report enters an owned moderation workflow.|Hide/Block effects and reversibility are explicit.,DEP-006|SRC-020,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
