capability_id,surface,capability,current_owner,source_path,api_or_schema,feature_flag,offline_behavior,release_evidence,missing_dependency,current_source,user_reachability,automated_proof,deployed_match,device_loaded,real_field_validation,notes
CAIRN-04,Memory,"Public Cairn discovery/detail","public bbox loader + blurred pins","app/src/features/memory/screens/MemoryScreen.tsx:824; CairnPinsLayer.tsx","/api/markers/public/bbox","none","network bbox only","source/deployed endpoint partial","interactive safe detail and publishing policy",PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,NO,"stranger pins are blurred/noninteractive"
CAIRN-05,"Cairn interactions","Like/report/hide","interaction service + marker endpoints","app/src/services/markerInteractionService.ts; backend/src/routes/markers.js:470","nonce/vote/report/hide; marker_votes","none","vote offline entity is reserved but not wired","source/API present","normal non-owner detail and hide wiring",YES,NO,PARTIAL,PARTIAL,UNKNOWN,NO,"lower-layer capability is product-unreachable"
MOD-01,Moderation,"Moderation review/disposition","no current owner","none","report counters only","none","none","no queue/workflow found","moderation schema/tooling/owner/SLA/appeal",NO,NO,NO,NO,NO,NO,"five reports can auto-hide but this is not moderation operations"
ENC-01,Encounter,"Eligibility/presented/opened/interacted lifecycle","no current owner","none","no Encounter schema/API","none","none","absent in local and production schema","domain model/schema/API/privacy/retention/reconciliation",NO,NO,NO,NO,NO,NO,"fog proximity is not proof of presentation"
ROUTE-01,Trails,"Own Route list/search/detail","route store/screens + backend Route","app/src/screens/RoutesScreen.tsx:408-423; app/src/store/useRouteStore.ts","/api/routes; routes","none","owner-scoped cache; detail if previously loaded","O56 Trails route strings and backend present","device/offline journey proof",YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,"friend route loader not consumed"
ROUTE-02,"Activity Detail/Planner","Create Route from finalized Activity","route outbox + backend transactional validation","app/src/store/useRouteStore.ts:281; backend/src/models/Route.js:20","/api/routes source_activity_* request only","none","durable route create outbox retries Activity sync race","focused local tests/source","deployed exact contract and device proof",YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,"source identity is validated but not stored"
ROUTE-03,Route,"Durable source/version/walked-planned provenance","local editor extras only","app/src/store/useRouteStore.ts:43-75; backend/src/models/Route.js:31","routes lacks provenance/version columns","none","local extras are device-local","server schema inspected","schema/API/export and fresh-device round trip",PARTIAL,NO,PARTIAL,NO,NO,NO,"edited geometry can appear wholly walked"
ROUTE-04,"Hike/Run","Active Route following and voice guidance","dormant hook/service","app/src/hooks/useRouteFollowing.ts:50; app/src/services/routeFollowing/RouteFollower.ts","none","none","route must be locally available","engine tests pass","normal caller/setter and product UX",YES,NO,YES,PARTIAL,UNKNOWN,NO,"current user gets map overlay guidance only"
ROUTE-05,Friends,"Friend Route view/copy/reference","circle route API + dormant store loader","app/src/store/useRouteStore.ts:237; backend/src/routes/circle.js:141","/api/circle/routes","none","no normal friend-route cache journey","API/source deployed","reachable UI plus copy/reference/revoke/privacy semantics",PARTIAL,NO,PARTIAL,PARTIAL,UNKNOWN,NO,"full endpoints/geometry returned to current friends"
SET-01,Settings,"Feedback acknowledgement","Settings + local account route","app/src/screens/SettingsScreen.tsx:706; backend/src/routes/account.js:60","/api/account/feedback; feedback_messages migration 035","none","network required; retryable UI","O56 client present; production endpoint/table absent","approved backend/migration deployment and device E2E",YES,YES,YES,NO,UNKNOWN,NO,"release blocker"
SET-02,Settings,"Data export request/status/download","Settings + DataExport backend","app/src/services/authService.ts:380; backend/src/models/DataExport.js","/api/account/export(s); data_exports","none","network/server build required","client/backend versions differ","isolated deployed contract proof and privacy review",YES,YES,PARTIAL,PARTIAL,UNKNOWN,NO,"current export route list omits geometry"
SET-03,Settings,"Seven-day account delete/restore","Settings/Auth + user deletion model","app/src/screens/SettingsScreen.tsx:870; backend/src/routes/auth.js:946","users.deleted_at; deletion cron","none","server authority required; device data clears now","O56 copy present; production is five minutes","approved backend deployment and full restore/sweep test",YES,YES,YES,NO,UNKNOWN,NO,"material release-truth mismatch"
PAY-01,Payments,"RevenueCat initialize/offering/purchase/restore","client iapService","app/src/services/iapService.ts:32-205","memory_pro client entitlement","RevenueCat public key env","entitlement cache up to 24h","native build has SDK; O56 key absent","EAS key plus ASC/RC product/offering setup",YES,PARTIAL,PARTIAL,NO,UNKNOWN,NO,"O56 records iap:api_key_missing"
PAY-02,Payments,"Server-authoritative paid entitlement","no current backend owner","none","no webhook/event/entitlement schema","none","none","absent in backend/production","signed idempotent lifecycle ingestion and enforcement",NO,NO,NO,NO,NO,NO,"purchase cannot change memory_subscription_limit"
MAP-01,"Home/Hike/Run/Memory","Mapbox online maps and rough NZ warmup","map components + mapboxPrewarm","app/src/services/mapboxPrewarm.ts","Mapbox SDK/tokens/offline pack","production token env exists","automatic bbox zoom 5-10 pack; no user control/status","source/O56 token evidence partial","device pack coverage/size and account metrics",YES,YES,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,"older map field use does not prove O56 pack"
DIAG-01,Diagnostics,"Build/activity diagnostics for beta","internal debug/telemetry services","app/src/services/bootDiagnostics.ts; telemetryUploader.ts","telemetry APIs; QA logs","build/debug gated","bounded local logs; uploads vary","source/backend endpoints present","external-tester consent/capture/retention and exact device identity",PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,"production normal Settings does not expose old debug path"
REL-02,TestFlight,"External beta availability","App Store Connect owner","none","ASC build/group/review","dashboard-controlled","not applicable","EAS build completed only","redacted ASC build/group/review and tester install proof",UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,NO,"dashboard access absent"
